"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.0983294,0.005,299.605,299.605,299.605,-0.0101892,-0.000225775,0,4.65804e-25,4.66061e-25,1,1,0,2.16333e-05,101325,101325,0.732163
0.5,0.0983294,0,299.605,299.605,299.605,-0.0101892,-0.000225775,0,4.65804e-25,4.66061e-25,1,1,0,2.16333e-05,101325,101325,0.732163
0.5,0.099996,0.005,299.596,299.596,299.596,-0.00866108,-0.000238095,0,3.16136e-27,3.16281e-27,1,1,0,1.6924e-05,101325,101325,0.732184
0.5,0.099996,0,299.596,299.596,299.596,-0.00866108,-0.000238095,0,3.16136e-27,3.16281e-27,1,1,0,1.6924e-05,101325,101325,0.732184
0.5,0.101663,0.005,299.587,299.587,299.587,-0.0071953,-0.000248436,0,1.67044e-29,1.67106e-29,1,1,0,1.24523e-05,101325,101325,0.732206
0.5,0.101663,0,299.587,299.587,299.587,-0.0071953,-0.000248436,0,1.67044e-29,1.67106e-29,1,1,0,1.24523e-05,101325,101325,0.732206
0.5,0.103329,0.005,299.578,299.578,299.578,-0.00579197,-0.000256873,0,6.49462e-32,6.49643e-32,1,1,0,8.22966e-06,101325,101325,0.732229
0.5,0.103329,0,299.578,299.578,299.578,-0.00579197,-0.000256873,0,6.49462e-32,6.49643e-32,1,1,0,8.22966e-06,101325,101325,0.732229
0.5,0.104996,0.005,299.569,299.569,299.569,-0.00445127,-0.000263485,0,1.68022e-34,1.68053e-34,1,1,0,4.26549e-06,101325,101325,0.732252
0.5,0.104996,0,299.569,299.569,299.569,-0.00445127,-0.000263485,0,1.68022e-34,1.68053e-34,1,1,0,4.26549e-06,101325,101325,0.732252
0.5,0.106662,0.005,299.559,299.559,299.559,-0.0031734,-0.00026835,0,2.4417e-37,2.44194e-37,1,1,0,5.61746e-07,101325,101325,0.732275
0.5,0.106662,0,299.559,299.559,299.559,-0.0031734,-0.00026835,0,2.4417e-37,2.44194e-37,1,1,0,5.61746e-07,101325,101325,0.732275
0.5,0.108329,0.005,299.549,299.549,299.549,-0.00195855,-0.000271548,0,1.93858e-40,1.93867e-40,1,1,0,-2.87627e-06,101325,101325,0.732298
0.5,0.108329,0,299.549,299.549,299.549,-0.00195855,-0.000271548,0,1.93858e-40,1.93867e-40,1,1,0,-2.87627e-06,101325,101325,0.732298
0.5,0.109996,0.005,299.54,299.54,299.54,-0.000806906,-0.000273161,0,8.12753e-44,8.12753e-44,1,1,0,-6.04564e-06,101325,101325,0.732322
0.5,0.109996,0,299.54,299.54,299.54,-0.000806906,-0.000273161,0,8.12753e-44,8.12753e-44,1,1,0,-6.04564e-06,101325,101325,0.732322
0.5,0.111662,0.005,299.531,299.531,299.531,0.000281327,-0.000273271,0,0,0,1,1,0,-8.95108e-06,101325,101325,0.732344
0.5,0.111662,0,299.531,299.531,299.531,0.000281327,-0.000273271,0,0,0,1,1,0,-8.95108e-06,101325,101325,0.732344
0.5,0.113329,0.005,299.522,299.522,299.522,0.00130596,-0.000271962,0,0,0,1,1,0,-1.15954e-05,101325,101325,0.732367
0.5,0.113329,0,299.522,299.522,299.522,0.00130596,-0.000271962,0,0,0,1,1,0,-1.15954e-05,101325,101325,0.732367
0.5,0.114995,0.005,299.513,299.513,299.513,0.00226679,-0.000269319,0,0,0,1,1,0,-1.398e-05,101325,101325,0.732388
0.5,0.114995,0,299.513,299.513,299.513,0.00226679,-0.000269319,0,0,0,1,1,0,-1.398e-05,101325,101325,0.732388
0.5,0.116662,0.005,299.504,299.504,299.504,0.00316365,-0.000265425,0,0,0,1,1,0,-1.61106e-05,101325,101325,0.73241
0.5,0.116662,0,299.504,299.504,299.504,0.00316365,-0.000265425,0,0,0,1,1,0,-1.61106e-05,101325,101325,0.73241
0.5,0.118329,0.005,299.496,299.496,299.496,0.00399635,-0.000260368,0,0,0,1,1,0,-1.79926e-05,101325,101325,0.73243
0.5,0.118329,0,299.496,299.496,299.496,0.00399635,-0.000260368,0,0,0,1,1,0,-1.79926e-05,101325,101325,0.73243
0.5,0.119995,0.005,299.488,299.488,299.488,0.00476473,-0.000254232,0,0,0,1,1,0,-1.96331e-05,101325,101325,0.73245
0.5,0.119995,0,299.488,299.488,299.488,0.00476473,-0.000254232,0,0,0,1,1,0,-1.96331e-05,101325,101325,0.73245
0.5,0.121662,0.005,299.48,299.48,299.48,0.00546864,-0.000247105,0,0,0,1,1,0,-2.10386e-05,101325,101325,0.732468
0.5,0.121662,0,299.48,299.48,299.48,0.00546864,-0.000247105,0,0,0,1,1,0,-2.10386e-05,101325,101325,0.732468
0.5,0.123328,0.005,299.473,299.473,299.473,0.00610792,-0.000239073,0,0,0,1,1,0,-2.22145e-05,101325,101325,0.732486
0.5,0.123328,0,299.473,299.473,299.473,0.00610792,-0.000239073,0,0,0,1,1,0,-2.22145e-05,101325,101325,0.732486
0.5,0.124995,0.005,299.466,299.466,299.466,0.00668246,-0.000230223,0,0,0,1,1,0,-2.31677e-05,101325,101325,0.732503
0.5,0.124995,0,299.466,299.466,299.466,0.00668246,-0.000230223,0,0,0,1,1,0,-2.31677e-05,101325,101325,0.732503
0.5,0.126662,0.005,299.46,299.46,299.46,0.00719214,-0.000220642,0,0,0,1,1,0,-2.39042e-05,101325,101325,0.732518
0.5,0.126662,0,299.46,299.46,299.46,0.00719214,-0.000220642,0,0,0,1,1,0,-2.39042e-05,101325,101325,0.732518
0.5,0.128328,0.005,299.454,299.454,299.454,0.00763686,-0.000210418,0,0,0,1,1,0,-2.44281e-05,101325,101325,0.732533
0.5,0.128328,0,299.454,299.454,299.454,0.00763686,-0.000210418,0,0,0,1,1,0,-2.44281e-05,101325,101325,0.732533
0.5,0.129995,0.005,299.448,299.448,299.448,0.00801655,-0.000199638,0,0,0,1,1,0,-2.47436e-05,101325,101325,0.732546
0.5,0.129995,0,299.448,299.448,299.448,0.00801655,-0.000199638,0,0,0,1,1,0,-2.47436e-05,101325,101325,0.732546
0.5,0.131661,0.005,299.443,299.443,299.443,0.00833113,-0.00018839,0,0,0,1,1,0,-2.48586e-05,101325,101325,0.732558
0.5,0.131661,0,299.443,299.443,299.443,0.00833113,-0.00018839,0,0,0,1,1,0,-2.48586e-05,101325,101325,0.732558
0.5,0.133328,0.005,299.439,299.439,299.439,0.00858059,-0.000176761,0,0,0,1,1,0,-2.47754e-05,101325,101325,0.732569
0.5,0.133328,0,299.439,299.439,299.439,0.00858059,-0.000176761,0,0,0,1,1,0,-2.47754e-05,101325,101325,0.732569
0.5,0.134995,0.005,299.435,299.435,299.435,0.00876487,-0.000164839,0,0,0,1,1,0,-2.44992e-05,101325,101325,0.732579
0.5,0.134995,0,299.435,299.435,299.435,0.00876487,-0.000164839,0,0,0,1,1,0,-2.44992e-05,101325,101325,0.732579
0.5,0.136661,0.005,299.431,299.431,299.431,0.00888398,-0.000152711,0,0,0,1,1,0,-2.40342e-05,101325,101325,0.732587
0.5,0.136661,0,299.431,299.431,299.431,0.00888398,-0.000152711,0,0,0,1,1,0,-2.40342e-05,101325,101325,0.732587
0.5,0.138328,0.005,299.428,299.428,299.428,0.00893794,-0.000140467,0,0,0,1,1,0,-2.33797e-05,101325,101325,0.732595
0.5,0.138328,0,299.428,299.428,299.428,0.00893794,-0.000140467,0,0,0,1,1,0,-2.33797e-05,101325,101325,0.732595
0.5,0.139994,0.005,299.426,299.426,299.426,0.0089268,-0.000128193,0,0,0,1,1,0,-2.25396e-05,101325,101325,0.732601
0.5,0.139994,0,299.426,299.426,299.426,0.0089268,-0.000128193,0,0,0,1,1,0,-2.25396e-05,101325,101325,0.732601
0.5,0.141661,0.005,299.423,299.423,299.423,0.00885062,-0.000115977,0,0,0,1,1,0,-2.15188e-05,101325,101325,0.732607
0.5,0.141661,0,299.423,299.423,299.423,0.00885062,-0.000115977,0,0,0,1,1,0,-2.15188e-05,101325,101325,0.732607
0.5,0.143328,0.005,299.422,299.422,299.422,0.00870947,-0.000103908,0,0,0,1,1,0,-2.03187e-05,101325,101325,0.732611
0.5,0.143328,0,299.422,299.422,299.422,0.00870947,-0.000103908,0,0,0,1,1,0,-2.03187e-05,101325,101325,0.732611
0.5,0.144994,0.005,299.42,299.42,299.42,0.00850344,-9.20755e-05,0,0,0,1,1,0,-1.89369e-05,101325,101325,0.732614
0.5,0.144994,0,299.42,299.42,299.42,0.00850344,-9.20755e-05,0,0,0,1,1,0,-1.89369e-05,101325,101325,0.732614
